Wiener Entropy std,Pitch,Peak Value,Group
0.0017874867,2666.5657,0.18353271,Orange 148
0.0014335332,2579.1357,0.16253662,Orange 148
0.0013978719,2722.0256,0.1696167,Orange 148
0.0014844051,2641.96,0.13476562,Orange 148
0.0015867985,2642.4985,0.14099121,Orange 148
0.00046880438,2595.249,0.42825317,Orange 148
0.0051423972,2540.6548,0.11029053,Orange 148
0.0014179475,2573.9155,0.11480713,Orange 148
0.0035319405,2309.9966,0.09109497,Orange 148
0.0016067005,2562.2278,0.11682129,Orange 148
0.001376776,2664.7266,0.12231445,Orange 148
0.0014387659,2533.2817,0.105651855,Orange 148
0.0022007932,2337.9866,0.0843811,Orange 148
0.0018594408,2516.5166,0.15258789,Orange 148
0.0010948622,2414.809,0.12771606,Orange 148
0.0011571728,2494.3096,0.16851807,Orange 148
0.0020537968,2604.845,0.18255615,Orange 148
0.0012472925,2596.8179,0.13543701,Orange 148
0.0014788953,2594.84,0.13537598,Orange 148
0.0018351759,2167.457,0.05001831,Orange 148
0.0020243728,2303.2168,0.09359741,Orange 148
0.000310139,2578.1108,0.7479553,Orange 168
0.00011902504,2677.793,0.9998779,Orange 168
0.00012586506,2817.3442,0.8335266,Orange 168
0.00019337301,2451.0378,0.69955444,Orange 168
0.00019818221,2557.4983,0.83029175,Orange 168
8.4804386e-05,2273.8145,0.68255615,Orange 168
0.00012213743,2278.1592,0.9999695,Orange 168
0.000110731635,2217.7314,0.84506226,Orange 168
0.000113936636,2377.73,0.9203491,Orange 168
6.5251865e-05,2402.9116,0.8463135,Orange 168
0.00020154993,2588.566,0.67962646,Orange 168
0.00013722619,2636.2942,0.8012085,Orange 168
0.00010192328,2678.9294,0.81073,Orange 168
0.00012633315,2549.311,0.8171692,Orange 168
0.00016511629,2687.1182,0.8473816,Orange 168
0.00019672199,2609.8867,0.7655029,Orange 168
0.00017095538,2539.7456,0.8421936,Orange 168
9.265331e-05,2268.3438,0.68258667,Orange 168
0.0001269912,2534.523,0.9997864,Orange 168
0.00012955646,2499.4688,0.84765625,Orange 168
0.000113329246,2282.3887,0.627594,Orange 168
0.00017420447,2624.9023,0.92333984,Orange 168
0.00013413548,2472.6602,0.72821045,Orange 168
0.00014439935,2562.9612,0.7451782,Orange 168
0.00027466068,2789.0942,0.9998474,Orange 168
0.00012616657,2561.5469,0.5916443,Orange 168
0.00012463289,2588.3518,0.9996948,Orange 168
0.00033077985,2798.4167,0.9999695,Orange 168
0.00014269348,2795.7854,0.90179443,Orange 168
0.00017527952,2612.0073,0.9999695,Orange 168
0.04845031,281.9649,0.9999695,Purple 19
0.04683077,293.35428,0.9999695,Purple 19
0.053822957,281.68433,0.9999695,Purple 19
0.04430983,248.07993,0.9999695,Purple 19
0.052115776,251.60197,0.9999695,Purple 19
0.04896985,253.19543,0.9999695,Purple 19
0.05588762,1398.0818,0.9999695,Purple 19
0.078670554,1417.7393,0.9999695,Purple 19
0.0583767,1642.0928,0.9999695,Purple 19
0.029039156,246.14868,0.9999695,Purple 19
0.050229795,247.43326,0.9999695,Purple 19
0.028763182,238.37996,0.9999695,Purple 19
0.038984574,256.34363,0.9999695,Purple 19
0.04505772,251.6511,0.9999695,Purple 19
0.045799922,243.99826,0.9999695,Purple 19
0.045998447,284.12778,0.9999695,Purple 19
0.050009,238.01129,0.9999695,Purple 19
0.03915921,248.55927,0.9999695,Purple 19
0.045559976,279.54266,0.9999695,Purple 19
0.048738375,280.00525,0.9999695,Purple 19
0.03957209,249.52637,0.9999695,Purple 19
0.052399322,253.98643,0.9999695,Purple 19
0.05410253,292.92044,0.9999695,Purple 19
0.025255509,216.99359,0.9999695,Purple 19
0.04441796,272.05795,0.9999695,Purple 19
0.047117557,249.7136,0.9999695,Purple 19
0.046875563,246.85182,0.9999695,Purple 19
0.040286098,249.18967,0.9999695,Purple 19
0.0010448864,2570.4956,1.0,Purple 19
